City,ProvinceAbbreviation,ProvinceFullName
Maliotenam,QC,Quebec
Mandeville,QC,Quebec
Maniwaki,QC,Quebec
Manouane,QC,Quebec
Mansfield-et-Pontefract,QC,Quebec
Maria,QC,Quebec
Marieville,QC,Quebec
Mascouche,QC,Quebec
Mashteuiatsh,QC,Quebec
Maskinonge,QC,Quebec
Matagami,QC,Quebec
Matane,QC,Quebec
McMasterville,QC,Quebec
Melbourne,QC,Quebec
Mercier,QC,Quebec
Messines,QC,Quebec
Metabetchouan-Lac-a-la-Croix,QC,Quebec
Mille-Isles,QC,Quebec
Mirabel,QC,Quebec
Mistassini,QC,Quebec
Mistissini,QC,Quebec
Mont-Carmel,QC,Quebec
Mont-Joli,QC,Quebec
Mont-Laurier,QC,Quebec
Montmagny,QC,Quebec
Mont-Orford,QC,Quebec
Montreal,QC,Quebec
Montreal-Est,QC,Quebec
Montreal-Ouest,QC,Quebec
Mont-Royal,QC,Quebec
Mont-Saint-Gregoire,QC,Quebec
Mont-Saint-Hilaire,QC,Quebec
Mont-Tremblant,QC,Quebec
Morin-Heights,QC,Quebec
Nantes,QC,Quebec
Napierville,QC,Quebec
Neuville,QC,Quebec
New Carlisle,QC,Quebec
New Richmond,QC,Quebec
Nicolet,QC,Quebec
Normandin,QC,Quebec
Notre-Dame-de-l'Ile-Perrot,QC,Quebec
Notre-Dame-de-Lourdes,QC,Quebec
Notre-Dame-des-Neiges,QC,Quebec
Notre-Dame-des-Pins,QC,Quebec
Notre-Dame-des-Prairies,QC,Quebec
Notre-Dame-du-Bon-Conseil,QC,Quebec
Notre-Dame-du-Laus,QC,Quebec
Notre-Dame-du-Mont-Carmel,QC,Quebec
Notre-Dame-du-Nord,QC,Quebec
Notre-Dame-du-Portage,QC,Quebec
Nouvelle,QC,Quebec
Noyan,QC,Quebec
Obedjiwan,QC,Quebec
Oka,QC,Quebec
Old Chelsea,QC,Quebec
Ormstown,QC,Quebec
Otterburn Park,QC,Quebec
Palmarolle,QC,Quebec
Papineauville,QC,Quebec
Paspebiac,QC,Quebec
Perce,QC,Quebec
Pessamit,QC,Quebec
Piedmont,QC,Quebec
Pierreville,QC,Quebec
Pincourt,QC,Quebec
Plaisance,QC,Quebec
Plessisville,QC,Quebec
Pohenegamook,QC,Quebec
Pointe-a-la-Croix,QC,Quebec
Pointe-aux-Outardes,QC,Quebec
Pointe-Calumet,QC,Quebec
Pointe-Claire,QC,Quebec
Pointe-des-Cascades,QC,Quebec
Pointe-Lebel,QC,Quebec
Pontiac,QC,Quebec
Pont-Rouge,QC,Quebec
Port-Cartier,QC,Quebec
Port-Daniel--Gascons,QC,Quebec
Portneuf,QC,Quebec
Potton,QC,Quebec
Povungnituk,QC,Quebec
Prevost,QC,Quebec
Price,QC,Quebec
Princeville,QC,Quebec
Quebec City,QC,Quebec
Racine,QC,Quebec
Ragueneau,QC,Quebec
Rawdon,QC,Quebec
Repentigny,QC,Quebec
Richelieu,QC,Quebec
Richmond,QC,Quebec
Rigaud,QC,Quebec
Rimouski,QC,Quebec
Ripon,QC,Quebec
Riviere-Beaudette,QC,Quebec
Riviere-Blanche,QC,Quebec
Riviere-Bleue,QC,Quebec
Riviere-du-Loup,QC,Quebec
Riviere-Heva,QC,Quebec
Riviere-Ouelle,QC,Quebec
Riviere-Rouge,QC,Quebec
Roberval,QC,Quebec
Rosemere,QC,Quebec
Rougemont,QC,Quebec
Rouyn-Noranda,QC,Quebec
Roxton Falls,QC,Quebec
Roxton Pond,QC,Quebec
Roxton-Sud,QC,Quebec
Sacre-Coeur-Saguenay,QC,Quebec
Saguenay,QC,Quebec
Saint-Adolphe-d'Howard,QC,Quebec
Saint-Agapit,QC,Quebec
Saint-Aime-des-Lacs,QC,Quebec
Saint-Alban,QC,Quebec
Saint-Albert,QC,Quebec
Saint-Alexandre,QC,Quebec
Saint-Alexandre-de-Kamouraska,QC,Quebec
Saint-Alexis,QC,Quebec
Saint-Alexis-des-Monts,QC,Quebec
Saint-Alphonse-de-Granby,QC,Quebec
Saint-Alphonse-Rodriguez,QC,Quebec
Saint-Amable,QC,Quebec
Saint-Ambroise,QC,Quebec
Saint-Ambroise-de-Kildare,QC,Quebec
Saint-Anaclet-de-Lessard,QC,Quebec
Saint-Andre-Avellin,QC,Quebec
Saint-Andre-d'Argenteuil,QC,Quebec
Saint-Anicet,QC,Quebec
Saint-Anselme,QC,Quebec
Saint-Antoine-de-Tilly,QC,Quebec
Saint-Antoine-sur-Richelieu,QC,Quebec
Saint-Antonin,QC,Quebec
Saint-Apollinaire,QC,Quebec
Saint-Armand,QC,Quebec
Saint-Arsene,QC,Quebec
Saint-Aubert,QC,Quebec
Saint-Augustin-de-Desmaures,QC,Quebec
Saint-Barnabe,QC,Quebec
Saint-Barthelemy,QC,Quebec
Saint-Basile,QC,Quebec
Saint-Basile-le-Grand,QC,Quebec
Saint-Benoit-Labre,QC,Quebec
Saint-Bernard,QC,Quebec
Saint-Bernard-de-Lacolle,QC,Quebec
Saint-Blaise-sur-Richelieu,QC,Quebec
Saint-Bonaventure,QC,Quebec
Saint-Boniface,QC,Quebec
Saint-Bruno,QC,Quebec
Saint-Bruno-de-Guigues,QC,Quebec
Saint-Bruno-de-Montarville,QC,Quebec
Saint-Calixte,QC,Quebec
Saint-Casimir,QC,Quebec
Saint-Cesaire,QC,Quebec
Saint-Charles-Borromee,QC,Quebec
Saint-Charles-de-Bellechasse,QC,Quebec
Saint-Charles-sur-Richelieu,QC,Quebec
Saint-Christophe-d'Arthabaska,QC,Quebec
Saint-Chrysostome,QC,Quebec
Saint-Claude,QC,Quebec
Saint-Clet,QC,Quebec
Saint-Colomban,QC,Quebec
Saint-Come,QC,Quebec
Saint-Come--Liniere,QC,Quebec
Saint-Constant,QC,Quebec
Saint-Cuthbert,QC,Quebec
Saint-Cyprien,QC,Quebec
Saint-Cyprien-de-Napierville,QC,Quebec
Saint-Cyrille-de-Wendover,QC,Quebec
Saint-Damase,QC,Quebec
Saint-Damien,QC,Quebec
Saint-Damien-de-Buckland,QC,Quebec
Saint-David-de-Falardeau,QC,Quebec
Saint-Denis,QC,Quebec
Saint-Denis-de-Brompton,QC,Quebec
Saint-Dominique,QC,Quebec
Saint-Donat,QC,Quebec
Sainte-Adele,QC,Quebec
Sainte-Agathe-de-Lotbiniere,QC,Quebec
Sainte-Agathe-des-Monts,QC,Quebec
Sainte-Angele-de-Monnoir,QC,Quebec
Sainte-Anne-de-Beaupre,QC,Quebec
Sainte-Anne-de-Bellevue,QC,Quebec
Sainte-Anne-de-la-Perade,QC,Quebec
Sainte-Anne-de-la-Pocatiere,QC,Quebec
Sainte-Anne-de-Sabrevois,QC,Quebec
Sainte-Anne-des-Lacs,QC,Quebec
Sainte-Anne-des-Monts,QC,Quebec
Sainte-Anne-de-Sorel,QC,Quebec
Sainte-Anne-des-Plaines,QC,Quebec
Sainte-Anne-du-Sault,QC,Quebec
Sainte-Barbe,QC,Quebec
Sainte-Beatrix,QC,Quebec
Sainte-Brigide-d'Iberville,QC,Quebec
Sainte-Brigitte-de-Laval,QC,Quebec
Sainte-Catherine,QC,Quebec
Sainte-Catherine-de-Hatley,QC,Quebec
Sainte-Catherine-de-la-Jacques-Cartier,QC,Quebec
Sainte-Cecile-de-Milton,QC,Quebec
Sainte-Claire,QC,Quebec
Sainte-Clotilde,QC,Quebec
Sainte-Clotilde-de-Horton,QC,Quebec
Sainte-Croix,QC,Quebec
Saint-Edouard,QC,Quebec
Saint-Edouard-de-Lotbiniere,QC,Quebec
Sainte-Elisabeth,QC,Quebec
Sainte-Emelie-de-l'Energie,QC,Quebec
Sainte-Felicite,QC,Quebec
Sainte-Genevieve-de-Batiscan,QC,Quebec
Sainte-Genevieve-de-Berthier,QC,Quebec
Sainte-Helene-de-Bagot,QC,Quebec
Sainte-Henedine,QC,Quebec
Sainte-Jeanne-d'Arc,QC,Quebec
Sainte-Julie,QC,Quebec
Sainte-Julienne,QC,Quebec
Sainte-Justine,QC,Quebec
Saint-Elie-de-Caxton,QC,Quebec
Sainte-Luce,QC,Quebec
Sainte-Lucie-des-Laurentides,QC,Quebec
Saint-Elzear,QC,Quebec
Sainte-Madeleine,QC,Quebec
Sainte-Marcelline-de-Kildare,QC,Quebec
Sainte-Marguerite,QC,Quebec
Sainte-Marguerite-du-Lac-Masson,QC,Quebec
Sainte-Marie,QC,Quebec
Sainte-Marie-Madeleine,QC,Quebec
Sainte-Marie-Salome,QC,Quebec
Sainte-Marthe,QC,Quebec
Sainte-Marthe-sur-le-Lac,QC,Quebec
Sainte-Martine,QC,Quebec
Sainte-Melanie,QC,Quebec
Sainte-Petronille,QC,Quebec
Saint-Ephrem-de-Beauce,QC,Quebec
Sainte-Sabine,QC,Quebec
Sainte-Sophie,QC,Quebec
Saint-Esprit,QC,Quebec
Sainte-Thecle,QC,Quebec
Sainte-Therese,QC,Quebec
Sainte-Therese-de-Gaspe,QC,Quebec
Saint-Etienne-des-Gres,QC,Quebec
Saint-Eugene,QC,Quebec
Sainte-Ursule,QC,Quebec
Saint-Eustache,QC,Quebec
Sainte-Victoire-de-Sorel,QC,Quebec
Saint-Fabien,QC,Quebec
Saint-Faustin--Lac-Carre,QC,Quebec
Saint-Felicien,QC,Quebec
Saint-Felix-de-Kingsey,QC,Quebec
Saint-Felix-de-Valois,QC,Quebec
Saint-Ferdinand,QC,Quebec
Saint-Ferreol-les-Neiges,QC,Quebec
Saint-Flavien,QC,Quebec
Saint-Francois-de-la-Riviere-du-Sud,QC,Quebec
Saint-Francois-du-Lac,QC,Quebec
Saint-Francois-Xavier-de-Brompton,QC,Quebec
Saint-Frederic,QC,Quebec
Saint-Fulgence,QC,Quebec
Saint-Gabriel,QC,Quebec
Saint-Gabriel-de-Brandon,QC,Quebec
Saint-Gabriel-de-Rimouski,QC,Quebec
Saint-Gabriel-de-Valcartier,QC,Quebec
Saint-Gedeon,QC,Quebec
Saint-Gedeon-de-Beauce,QC,Quebec
Saint-Georges-de-Cacouna,QC,Quebec
Saint-Georges-de-Clarenceville,QC,Quebec
Saint-Germain-de-Grantham,QC,Quebec
Saint-Gervais,QC,Quebec
Saint-Gilles,QC,Quebec
Saint-Guillaume,QC,Quebec
Saint-Henri,QC,Quebec
Saint-Hilarion,QC,Quebec
Saint-Hippolyte,QC,Quebec
Saint-Honore,QC,Quebec
Saint-Honore-de-Shenley,QC,Quebec
Saint-Hubert-de-Riviere-du-Loup,QC,Quebec
Saint-Hugues,QC,Quebec
Saint-Hyacinthe,QC,Quebec
Saint-Ignace-de-Loyola,QC,Quebec
Saint-Isidore,QC,Quebec
Saint-Jacques,QC,Quebec
Saint-Jacques-le-Mineur,QC,Quebec
Saint-Jean-Baptiste,QC,Quebec
Saint-Jean-de-Dieu,QC,Quebec
Saint-Jean-de-Matha,QC,Quebec
Saint-Jean-Port-Joli,QC,Quebec
Saint-Jean-sur-Richelieu,QC,Quebec
Saint-Jerome,QC,Quebec
Saint-Joachim,QC,Quebec
Saint-Joachim-de-Shefford,QC,Quebec
Saint-Joseph-de-Beauce,QC,Quebec
Saint-Joseph-de-Coleraine,QC,Quebec
Saint-Joseph-de-Sorel,QC,Quebec
Saint-Joseph-du-Lac,QC,Quebec
Saint-Jude,QC,Quebec
Saint-Justin,QC,Quebec
Saint-Lambert,QC,Quebec
Saint-Lambert-de-Lauzon,QC,Quebec
Saint-Laurent-de-l'Ile-d'Orleans,QC,Quebec
Saint-Lazare,QC,Quebec
Saint-Lazare-de-Bellechasse,QC,Quebec
Saint-Leonard-d'Aston,QC,Quebec
Saint-Leonard-de-Portneuf,QC,Quebec
Saint-Leon-de-Standon,QC,Quebec
Saint-Liboire,QC,Quebec
Saint-Liguori,QC,Quebec
Saint-Lin--Laurentides,QC,Quebec
Saint-Louis-de-Gonzague,QC,Quebec
Saint-Louis-du-Ha! Ha!,QC,Quebec
Saint-Lucien,QC,Quebec
Saint-Ludger,QC,Quebec
Saint-Majorique-de-Grantham,QC,Quebec
Saint-Malachie,QC,Quebec
Saint-Marc-des-Carrieres,QC,Quebec
Saint-Marc-sur-Richelieu,QC,Quebec
Saint-Martin,QC,Quebec
Saint-Mathias-sur-Richelieu,QC,Quebec
Saint-Mathieu,QC,Quebec
Saint-Mathieu-de-Beloeil,QC,Quebec
Saint-Mathieu-du-Parc,QC,Quebec
Saint-Maurice,QC,Quebec
Saint-Maxime-du-Mont-Louis,QC,Quebec
Saint-Michel,QC,Quebec
Saint-Michel-de-Bellechasse,QC,Quebec
Saint-Michel-des-Saints,QC,Quebec
Saint-Michel-du-Squatec,QC,Quebec
Saint-Modeste,QC,Quebec
Saint-Narcisse,QC,Quebec
Saint-Narcisse-de-Beaurivage,QC,Quebec
Saint-Narcisse-de-Rimouski,QC,Quebec
Saint-Nazaire,QC,Quebec
Saint-Norbert,QC,Quebec
Saint-Norbert-d'Arthabaska,QC,Quebec
Saint-Odilon-de-Cranbourne,QC,Quebec
Saint-Ours,QC,Quebec
Saint-Pacome,QC,Quebec
Saint-Pamphile,QC,Quebec
Saint-Pascal,QC,Quebec
Saint-Patrice-de-Beaurivage,QC,Quebec
Saint-Patrice-de-Sherrington,QC,Quebec
Saint-Paul,QC,Quebec
Saint-Paul-d'Abbotsford,QC,Quebec
Saint-Paul-de-l'Ile-aux-Noix,QC,Quebec
Saint-Paulin,QC,Quebec
Saint-Philippe,QC,Quebec
Saint-Pie,QC,Quebec
Saint-Pierre-de-l'Ile-d'Orleans,QC,Quebec
Saint-Pierre-les-Becquets,QC,Quebec
Saint-Placide,QC,Quebec
Saint-Polycarpe,QC,Quebec
Saint-Prime,QC,Quebec
Saint-Prosper,QC,Quebec
Saint-Raphael,QC,Quebec
Saint-Raymond,QC,Quebec
Saint-Remi,QC,Quebec
Saint-Rene-de-Matane,QC,Quebec
Saint-Robert,QC,Quebec
Saint-Roch-de-l'Achigan,QC,Quebec
Saint-Roch-de-Richelieu,QC,Quebec
Saints-Anges,QC,Quebec
Saint-Sauveur,QC,Quebec
Saint-Simeon,QC,Quebec
Saint-Simon,QC,Quebec
Saint-Stanislas,QC,Quebec
Saint-Stanislas-de-Kostka,QC,Quebec
Saint-Sulpice,QC,Quebec
Saint-Sylvestre,QC,Quebec
Saint-Theodore-d'Acton,QC,Quebec
Saint-Thomas,QC,Quebec
Saint-Tite,QC,Quebec
Saint-Tite-des-Caps,QC,Quebec
Saint-Ubalde,QC,Quebec
Saint-Urbain,QC,Quebec
Saint-Urbain-Premier,QC,Quebec
Saint-Valere,QC,Quebec
Saint-Valerien-de-Milton,QC,Quebec
Saint-Vallier,QC,Quebec
Saint-Victor,QC,Quebec
Saint-Wenceslas,QC,Quebec
Saint-Zacharie,QC,Quebec
Saint-Zenon,QC,Quebec
Saint-Zotique,QC,Quebec
Salaberry-de-Valleyfield,QC,Quebec
Salluit,QC,Quebec
Sayabec,QC,Quebec
Scott,QC,Quebec
Senneterre,QC,Quebec
Sept-Iles,QC,Quebec
Shannon,QC,Quebec
Shawinigan,QC,Quebec
Shawville,QC,Quebec
Sherbrooke,QC,Quebec
Sorel-Tracy,QC,Quebec
Stanstead,QC,Quebec
Stoke,QC,Quebec
Stoneham-et-Tewkesbury,QC,Quebec
Stukely-Sud,QC,Quebec
Sutton,QC,Quebec
Temiscaming,QC,Quebec
Temiscouata-sur-le-Lac,QC,Quebec
Terrasse-Vaudreuil,QC,Quebec
Terrebonne,QC,Quebec
Thetford Mines,QC,Quebec
Thurso,QC,Quebec
Tingwick,QC,Quebec
Trecesson,QC,Quebec
Tres-Saint-Sacrement,QC,Quebec
Tring-Jonction,QC,Quebec
Trois-Pistoles,QC,Quebec
Trois-Rivieres,QC,Quebec
Uashat,QC,Quebec
Upton,QC,Quebec
Valcourt,QC,Quebec
Val-David,QC,Quebec
Val-des-Monts,QC,Quebec
Val-d'Or,QC,Quebec
Val-Joli,QC,Quebec
Vallee-Jonction,QC,Quebec
Val-Morin,QC,Quebec
Val-Shefford,QC,Quebec
Varennes,QC,Quebec
Vaudreuil-Dorion,QC,Quebec
Vaudreuil-sur-le-Lac,QC,Quebec
Venise-en-Quebec,QC,Quebec
Vercheres,QC,Quebec
Victoriaville,QC,Quebec
Ville-Marie,QC,Quebec
Warwick,QC,Quebec
Waskaganish,QC,Quebec
Waswanipi,QC,Quebec
Waterloo,QC,Quebec
Waterville,QC,Quebec
Weedon-Centre,QC,Quebec
Wemindji,QC,Quebec
Wemotaci,QC,Quebec
Wendake,QC,Quebec
Wentworth-Nord,QC,Quebec
Westmount,QC,Quebec
Wickham,QC,Quebec
Windsor,QC,Quebec
Wotton,QC,Quebec
Yamachiche,QC,Quebec
Yamaska,QC,Quebec
Yamaska-Est,QC,Quebec
Air Ronge,SK,Saskatchewan
Assiniboia,SK,Saskatchewan
Balgonie,SK,Saskatchewan
Battle River No. 438,SK,Saskatchewan
Battleford,SK,Saskatchewan
Beaver River,SK,Saskatchewan
Biggar,SK,Saskatchewan
Birch Hills,SK,Saskatchewan
Blucher,SK,Saskatchewan
Britannia No. 502,SK,Saskatchewan
Buckland No. 491,SK,Saskatchewan
Buffalo Narrows,SK,Saskatchewan
Canora,SK,Saskatchewan
Canwood No. 494,SK,Saskatchewan
Carlyle,SK,Saskatchewan
Carnduff,SK,Saskatchewan
Corman Park No. 344,SK,Saskatchewan
Creighton,SK,Saskatchewan
Dalmeny,SK,Saskatchewan
Davidson,SK,Saskatchewan
Delisle,SK,Saskatchewan
Duck Lake No. 463,SK,Saskatchewan
Dundurn No. 314,SK,Saskatchewan
Edenwold No. 158,SK,Saskatchewan
Esterhazy,SK,Saskatchewan
Estevan,SK,Saskatchewan
Estevan No. 5,SK,Saskatchewan
Eston,SK,Saskatchewan
Flin Flon,SK,Saskatchewan
Foam Lake,SK,Saskatchewan
Fort Qu'Appelle,SK,Saskatchewan
Frenchman Butte,SK,Saskatchewan
Gravelbourg,SK,Saskatchewan
Grenfell,SK,Saskatchewan
Hudson Bay,SK,Saskatchewan
Hudson Bay No. 394,SK,Saskatchewan
Humboldt,SK,Saskatchewan
Ile-a-la-Crosse,SK,Saskatchewan
Indian Head,SK,Saskatchewan
Kamsack,SK,Saskatchewan
Kerrobert,SK,Saskatchewan
Kindersley,SK,Saskatchewan
Kindersley No. 290,SK,Saskatchewan
Kipling,SK,Saskatchewan
La Loche,SK,Saskatchewan
La Ronge,SK,Saskatchewan
Laird No. 404,SK,Saskatchewan
Lajord No. 128,SK,Saskatchewan
Langenburg,SK,Saskatchewan
Langham,SK,Saskatchewan
Lanigan,SK,Saskatchewan
Lloydminster,SK,Saskatchewan
Longlaketon No. 219,SK,Saskatchewan
Lumsden,SK,Saskatchewan
Lumsden No. 189,SK,Saskatchewan
Macklin,SK,Saskatchewan
Maidstone,SK,Saskatchewan
Maple Creek,SK,Saskatchewan
Maple Creek No. 111,SK,Saskatchewan
Martensville,SK,Saskatchewan
Meadow Lake,SK,Saskatchewan
Meadow Lake No. 588,SK,Saskatchewan
Melfort,SK,Saskatchewan
Melville,SK,Saskatchewan
Mervin No. 499,SK,Saskatchewan
Moose Jaw,SK,Saskatchewan
Moose Jaw No. 161,SK,Saskatchewan
Moosomin,SK,Saskatchewan
Nipawin,SK,Saskatchewan
Nipawin No. 487,SK,Saskatchewan
North Battleford,SK,Saskatchewan
Orkney No. 244,SK,Saskatchewan
Osler,SK,Saskatchewan
Outlook,SK,Saskatchewan
Oxbow,SK,Saskatchewan
Pelican Narrows,SK,Saskatchewan
Pilot Butte,SK,Saskatchewan
Pinehouse,SK,Saskatchewan
Preeceville,SK,Saskatchewan
Prince Albert,SK,Saskatchewan
Prince Albert No. 461,SK,Saskatchewan
Rama,SK,Saskatchewan
Regina,SK,Saskatchewan
Regina Beach,SK,Saskatchewan
Rosetown,SK,Saskatchewan
Rosthern,SK,Saskatchewan
Rosthern No. 403,SK,Saskatchewan
Saskatoon,SK,Saskatchewan
Shaunavon,SK,Saskatchewan
Shellbrook,SK,Saskatchewan
Shellbrook No. 493,SK,Saskatchewan
South Qu'Appelle No. 157,SK,Saskatchewan
Spiritwood No. 496,SK,Saskatchewan
St. Louis No. 431,SK,Saskatchewan
Swift Current,SK,Saskatchewan
Swift Current No. 137,SK,Saskatchewan
Tisdale,SK,Saskatchewan
Torch River No. 488,SK,Saskatchewan
Unity,SK,Saskatchewan
Vanscoy No. 345,SK,Saskatchewan
Wadena,SK,Saskatchewan
Waldheim,SK,Saskatchewan
Warman,SK,Saskatchewan
Watrous,SK,Saskatchewan
Weyburn,SK,Saskatchewan
Weyburn No. 67,SK,Saskatchewan
White City,SK,Saskatchewan
Wilkie,SK,Saskatchewan
Wilton No. 472,SK,Saskatchewan
Wynyard,SK,Saskatchewan
Yorkton,SK,Saskatchewan
Dawson,YT,Yukon
Whitehorse,YT,Yukon
